,accuracy,precision,recall
3223321,0.85125,0.2,0.004255319
3311311,0.85375,1,0.004255319
2133122,0.853125,1,0.004237288
3113312,0.853125,1,0.004237288
1331111,0.85,0.2,0.004219409
2223222,0.850625,0.25,0.004219409
2233221,0.851875,0.5,0.004219409
2313321,0.851875,0.5,0.004219409
3212311,0.851875,0.5,0.004219409
3323222,0.850625,0.25,0.004219409
2133121,0.848125,0.14285714285714285,0.004201681
2213111,0.85125,0.5,0.004201681
2333311,0.851875,1,0.004201681
3113121,0.851875,1,0.004201681
3331221,0.851875,1,0.004201681
2223121,0.846875,0.125,0.0041841
3233212,0.850625,0.5,0.0041841
3331322,0.850625,0.5,0.0041841
1212212,0.843125,0.076923077,0.004166667
1321322,0.848125,0.2,0.004166667
2323212,0.850625,1,0.004166667
3232122,0.85,0.5,0.004166667
1123312,0.85,1,0.004149378
1223221,0.848125,0.25,0.004149378
1322322,0.848125,0.25,0.004149378
1332111,0.849375,0.5,0.004149378
3223322,0.85,1,0.004149378
1132311,0.8475,0.25,0.004132231
2123121,0.849375,1,0.004132231
3113321,0.849375,1,0.004132231
3131312,0.849375,1,0.004132231
3131321,0.848125,0.3333333333333333,0.004132231
3333112,0.849375,1,0.004132231
3121322,0.84875,1,0.004115226
2133222,0.8475,0.5,0.004098361
2212312,0.8475,0.5,0.004098361
2332122,0.845625,0.2,0.004098361
1331321,0.8475,1,0.004081633
3313122,0.846875,0.5,0.004081633
1232122,0.84,0.083333333,0.004065041
1312122,0.841875,0.1111111111111111,0.004065041
2122211,0.843125,0.14285714285714285,0.004065041
1211212,0.844375,0.25,0.004048583
1233121,0.84625,1,0.004048583
